Date,Surveyor,Water Report
10/29/20,John Doe,Dry
7/1/20,Martina G,Flowing
6/30/20,Kimon Rybnicek,Flowing
6/21/20,Paul Cronshaw,Flowing
5/19/20,rich scholl,Flowing
5/3/20,Shaddus Maximus,Flowing
2/15/20,Troop 4,Flowing
2/3/20,edsafaris,Flowing
2/1/20,Rob Guzzon,Flowing
1/12/20,Antonio Calderon,Flowing
12/14/19,Steve Schott,Flowing
8/3/19,Stephen S,Dry
4/23/19,Anthony Vasquez,Flowing
4/13/19,Brent Christensen,Flowing
2/17/19,Jonathan Rocque,Flowing
1/20/19,Craig R. Carey,Flowing
12/15/18,Jonathan Rocque,Flowing
10/26/18,Conor W,Dry
10/20/18,Anonymous Surveyor,Dry
10/16/18,Jonathan Rocque,Dry
10/15/18,Dan S,Dry
7/1/18,Natalia,Dry
4/27/18,Matt Inman-Ojai Valley School,Flowing
9/11/17,Jared Bresee,Dry
6/10/17,Seedubyuh,Trickle
5/27/17,Anonymous Surveyor,Flowing
5/13/17,Paul Nicholson,Flowing
4/16/17,Donald T,Flowing
1/14/17,Shaddus Maximus,Flowing
12/5/16,TJ,Dry
11/6/16,Shaddus Maximus,Dry
5/8/16,Kelsey,Stagnant
5/3/16,Taylor,Trickle
4/23/16,James Wapotich,Flowing
3/23/16,Anonymous Surveyor,Flowing
2/14/16,Shaddus Maximus,Flowing
4/20/15,Valerie Norton,Dry
2/21/15,Paul Cronshaw,Flowing
2/14/15,Paul Cronshaw,Flowing
1/31/15,FP,Flowing
12/22/14,Anonymous Surveyor,Flowing
